Section name,Ti,TiD
BISH-BABOGAYA11-1A-1U-10A,0.033480558,334.80558
BISH-BABOGAYA11-1A-1U-10A,0.03377067,337.7067
BISH-BABOGAYA11-1A-1U-10A,0.030297242,302.97242
BISH-BABOGAYA11-1A-1U-10A,0.031425279,314.25279
BISH-BABOGAYA11-1A-1U-10A,0.032938479,329.38479
BISH-BABOGAYA11-1A-1U-10A,0.031329052,313.29052
BISH-BABOGAYA11-1A-1U-10A,0.039718548,397.18548
BISH-BABOGAYA11-1A-1U-10A,0.047803068,478.03068
BISH-BABOGAYA11-1A-1U-10A,0.044719682,447.19682
BISH-BABOGAYA11-1A-1U-10A,0.04340217,434.0217
BISH-BABOGAYA11-1A-1U-10A,0.037276399,372.76399
BISH-BABOGAYA11-1A-1U-10A,0.039943752,399.43752
BISH-BABOGAYA11-1A-1U-10A,0.040080925,400.80925
BISH-BABOGAYA11-1A-1U-10A,0.040256688,402.56688
BISH-BABOGAYA11-1A-1U-10A,0.036939616,369.39616
BISH-BABOGAYA11-1A-1U-10A,0.04612882,461.2882
BISH-BABOGAYA11-1A-1U-10A,0.039201466,392.01466
BISH-BABOGAYA11-1A-1U-10A,0.035672606,356.72606
BISH-BABOGAYA11-1A-1U-10A,0.03502037,350.2037
BISH-BABOGAYA11-1A-1U-10A,0.038771951,387.71951
BISH-BABOGAYA11-1A-1U-10A,0.043913929,439.13929
BISH-BABOGAYA11-1A-1U-10A,0.048241081,482.41081
BISH-BABOGAYA11-1A-1U-10A,0.039247446,392.47446
BISH-BABOGAYA11-1A-1U-10A,0.034831273,348.31273
BISH-BABOGAYA11-1A-1U-10A,0.035524721,355.24721
BISH-BABOGAYA11-1A-1U-10A,0.028060464,280.60464
BISH-BABOGAYA11-1A-1U-10A,0.022961674,229.61674
BISH-BABOGAYA11-1A-1U-10A,0.017422325,174.22325
BISH-BABOGAYA11-1A-1U-10A,0.027767355,277.67355
BISH-BABOGAYA11-1A-1U-10A,0.038934016,389.34016
BISH-BABOGAYA11-1A-1U-10A,0.045712446,457.12446
BISH-BABOGAYA11-1A-1U-10A,0.051567888,515.67888
BISH-BABOGAYA11-1A-1U-10A,0.053216934,532.16934
BISH-BABOGAYA11-1A-1U-10A,0.047688892,476.88892
BISH-BABOGAYA11-1A-1U-10A,0.052227592,522.27592
BISH-BABOGAYA11-1A-1U-10A,0.052811457,528.11457
BISH-BABOGAYA11-1A-1U-10A,0.052449938,524.49938
BISH-BABOGAYA11-1A-1U-10A,0.052014444,520.14444
BISH-BABOGAYA11-1A-1U-10A,0.053523856,535.23856
BISH-BABOGAYA11-1A-1U-10A,0.045770545,457.70545
BISH-BABOGAYA11-1A-1U-10A,0.047050337,470.50337
BISH-BABOGAYA11-1A-1U-10A,0.045759019,457.59019
BISH-BABOGAYA11-1A-1U-10A,0.051051051,510.51051
BISH-BABOGAYA11-1A-1U-10A,0.051066499,510.66499
BISH-BABOGAYA11-1A-1U-10A,0.048993512,489.93512
BISH-BABOGAYA11-1A-1U-10A,0.055430054,554.30054
BISH-BABOGAYA11-1A-1U-10A,0.054124565,541.24565
BISH-BABOGAYA11-1A-1U-10A,0.060794302,607.94302
BISH-BABOGAYA11-1A-1U-10A,0.052806754,528.06754
BISH-BABOGAYA11-1A-1U-10A,0.049800546,498.00546
BISH-BABOGAYA11-1A-1U-10A,0.048173572,481.73572
BISH-BABOGAYA11-1A-1U-10A,0.049122807,491.22807
BISH-BABOGAYA11-1A-1U-10A,0.051107121,511.07121
BISH-BABOGAYA11-1A-1U-10A,0.055466535,554.66535
BISH-BABOGAYA11-1A-1U-10A,0.060659072,606.59072
BISH-BABOGAYA11-1A-1U-10A,0.059290307,592.90307
BISH-BABOGAYA11-1A-1U-10A,0.062372688,623.72688
BISH-BABOGAYA11-1A-1U-10A,0.053502186,535.02186
BISH-BABOGAYA11-1A-1U-10A,0.053784111,537.84111
BISH-BABOGAYA11-1A-1U-10A,0.05464913,546.4913
BISH-BABOGAYA11-1A-1U-10A,0.057842932,578.42932
BISH-BABOGAYA11-1A-1U-10A,0.057678504,576.78504
BISH-BABOGAYA11-1A-1U-10A,0.046405971,464.05971
BISH-BABOGAYA11-1A-1U-10A,0.043803772,438.03772
BISH-BABOGAYA11-1A-1U-10A,0.038204082,382.04082
BISH-BABOGAYA11-1A-1U-10A,0.041435576,414.35576
BISH-BABOGAYA11-1A-1U-10A,0.049497323,494.97323
BISH-BABOGAYA11-1A-1U-10A,0.043429715,434.29715
BISH-BABOGAYA11-1A-1U-10A,0.039164883,391.64883
BISH-BABOGAYA11-1A-1U-10A,0.043931497,439.31497
BISH-BABOGAYA11-1A-1U-10A,0.045061431,450.61431
BISH-BABOGAYA11-1A-1U-10A,0.046384263,463.84263
BISH-BABOGAYA11-1A-1U-10A,0.050882813,508.82813
BISH-BABOGAYA11-1A-1U-10A,0.047892862,478.92862
BISH-BABOGAYA11-1A-1U-10A,0.052507308,525.07308
BISH-BABOGAYA11-1A-1U-10A,0.050575901,505.75901
BISH-BABOGAYA11-1A-1U-10A,0.048263402,482.63402
BISH-BABOGAYA11-1A-1U-10A,0.052070918,520.70918
BISH-BABOGAYA11-1A-1U-10A,0.052254751,522.54751
BISH-BABOGAYA11-1A-1U-10A,0.05090572,509.0572
BISH-BABOGAYA11-1A-1U-10A,0.043704554,437.04554
BISH-BABOGAYA11-1A-1U-10A,0.038818794,388.18794
BISH-BABOGAYA11-1A-1U-10A,0.038617096,386.17096
BISH-BABOGAYA11-1A-1U-10A,0.040059697,400.59697
BISH-BABOGAYA11-1A-1U-10A,0.035347591,353.47591
BISH-BABOGAYA11-1A-1U-10A,0.034518249,345.18249
BISH-BABOGAYA11-1A-1U-10A,0.028848437,288.48437
BISH-BABOGAYA11-1A-1U-10A,0.030445917,304.45917
BISH-BABOGAYA11-1A-1U-10A,0.035627922,356.27922
BISH-BABOGAYA11-1A-1U-10A,0.034209667,342.09667
BISH-BABOGAYA11-1A-1U-10A,0.028169588,281.69588
